iter	RMSE
0	14.86564582
1	14.4805639
2	14.09844774
3	13.73000397
4	13.38429342
5	13.06551763
6	12.75941034
7	12.48672921
8	12.21267188
9	11.91893085
10	11.61936195
11	11.38376964
12	11.1441269
13	10.90464714
14	10.66270511
15	10.423104
16	10.21222521
17	10.01698607
18	9.8020878
19	9.616062322
20	9.443110055
21	9.266280168
22	9.092868721
23	8.932431362
24	8.77843436
25	8.639034827
26	8.497571106
27	8.371884064
28	8.235298554
29	8.104814709
30	8.000138261
31	7.871270935
32	7.759139289
33	7.654821975
34	7.548851646
35	7.461459099
36	7.361546525
37	7.282293223
38	7.199056654
39	7.117330534
40	7.038408081
41	6.960018181
42	6.888031035
43	6.822002534
44	6.757187687
45	6.697007277
46	6.62654908
47	6.578484228
48	6.515266426
49	6.457825324
50	6.405504087
51	6.357218857
52	6.307944189
53	6.262196528
54	6.219067338
55	6.172515989
56	6.129335009
57	6.093419411
58	6.055976066
59	6.02426342
60	5.98757971
61	5.954937663
62	5.924432737
63	5.886823593
64	5.859205941
65	5.832698008
66	5.802946045
67	5.774302467
68	5.749317209
69	5.72548354
70	5.701932791
71	5.679978132
72	5.660168193
73	5.636387477
74	5.618200724
75	5.596593859
76	5.578540779
77	5.561196627
78	5.543716265
79	5.524498418
80	5.508305089
81	5.490584839
82	5.475695566
83	5.460460033
84	5.444962763
85	5.427727129
86	5.414570211
87	5.404062099
88	5.389332135
89	5.375487461
90	5.362273
91	5.35401093
92	5.338954433
93	5.332497634
94	5.322827604
95	5.308784096
96	5.29504607
97	5.285224397
98	5.2745535
99	5.264741688
100	5.255237268
101	5.246423925
102	5.23424403
103	5.219791069
104	5.209519786
105	5.199968969
106	5.192517516
107	5.186318672
108	5.179458698
109	5.170322919
110	5.160487382
111	5.153610694
112	5.144189229
113	5.130251757
114	5.125584102
115	5.114956274
116	5.108908549
117	5.105374041
118	5.097175713
119	5.09196552
120	5.085953993
121	5.080669012
122	5.075478383
123	5.070526351
124	5.067409575
125	5.062958058
126	5.058557314
127	5.053461593
128	5.047549162
129	5.041285658
130	5.036887332
131	5.030149752
132	5.023083533
133	5.015152979
134	5.01087621
135	5.008155334
136	5.003264555
137	4.998416888
138	4.995527747
139	4.993175715
140	4.987713421
141	4.982225962
142	4.976465669
143	4.971331632
144	4.964498612
145	4.959007363
146	4.957117292
147	4.953040995
148	4.944672039
149	4.941330456
150	4.938821387
151	4.935499101
152	4.929077315
153	4.924052336
154	4.921415635
155	4.917604302
156	4.913634239
157	4.909568755
158	4.903606794
159	4.899350038
160	4.89673773
161	4.895867492
162	4.891006225
163	4.887816673
164	4.883485183
165	4.88136188
166	4.878204351
167	4.874325489
168	4.872438921
169	4.868119903
170	4.865587689
171	4.862130725
172	4.858631431
173	4.854757857
174	4.84971881
175	4.847636353
176	4.843248388
177	4.838331183
178	4.835252559
179	4.831543677
180	4.826304334
181	4.825911191
182	4.821989444
183	4.816592994
184	4.813177491
185	4.810750721
186	4.80729968
187	4.801375425
188	4.795019726
189	4.793387129
190	4.78923113
191	4.786962368
192	4.7824177
193	4.778244823
194	4.773975492
195	4.771644233
196	4.768256861
197	4.765688322
198	4.759898261
199	4.759129628
200	4.754633436
201	4.750732793
202	4.746774666
203	4.744553304
204	4.738869006
205	4.734093069
206	4.73170632
207	4.727470088
208	4.726011493
209	4.722417238
210	4.718646599
211	4.713503353
212	4.708792204
213	4.705687535
214	4.702553784
215	4.699695617
216	4.697418538
217	4.694563146
218	4.690394882
219	4.685395815
220	4.678892367
221	4.675469319
222	4.674185982
223	4.670861342
224	4.66617628
225	4.666067999
226	4.663427284
227	4.661462827
228	4.659649461
229	4.654944921
230	4.653311361
231	4.648527065
232	4.643134044
233	4.641393481
234	4.641017165
235	4.639798368
236	4.637600345
237	4.636516898
238	4.634714924
239	4.633277671
240	4.62915941
241	4.62658058
242	4.620165755
243	4.616369984
244	4.615083918
245	4.613030654
246	4.608509883
247	4.606594713
248	4.601630029
249	4.597816652
250	4.594472796
251	4.590853722
252	4.587705749
253	4.579632594
254	4.575421851
255	4.571831056
256	4.569732411
257	4.565026723
258	4.56206568
259	4.559841911
260	4.556564513
261	4.552739055
262	4.546808811
263	4.545564694
264	4.542363071
265	4.539649602
266	4.536054315
267	4.535126499
268	4.533529438
269	4.527175374
270	4.523246938
271	4.51821299
272	4.516489795
273	4.515888043
274	4.513766177
275	4.512382382
276	4.509207475
277	4.50580451
278	4.502229344
279	4.501586077
280	4.501078533
281	4.49877031
282	4.495729723
283	4.490105929
284	4.486989937
285	4.481498878
286	4.475922956
287	4.475352458
288	4.469767398
289	4.468578933
290	4.46323463
291	4.461205852
292	4.45722213
293	4.452740695
294	4.44814415
295	4.446832528
296	4.445471123
297	4.441168696
298	4.436290551
299	4.428940659
300	4.424086948
301	4.419781804
302	4.414709577
303	4.407998949
304	4.407397359
305	4.405581452
306	4.398668229
307	4.395806605
308	4.391097059
309	4.387568412
310	4.386766375
311	4.382478344
312	4.378046886
313	4.375390914
314	4.370086613
315	4.365900707
316	4.361860166
317	4.358487117
318	4.35331331
319	4.348009205
320	4.344676476
321	4.340863575
322	4.337711443
323	4.336322022
324	4.332705242
325	4.329061201
326	4.327517847
327	4.323658573
328	4.317822268
329	4.31587871
330	4.315196649
331	4.311866939
332	4.310384477
333	4.304193719
334	4.301649442
335	4.297388132
336	4.296939919
337	4.293546809
338	4.292766901
339	4.290229175
340	4.286199219
341	4.285399413
342	4.285208858
343	4.284234393
344	4.279849516
345	4.274992866
346	4.26984822
347	4.269218843
348	4.263355454
349	4.261470514
350	4.258732878
351	4.255061245
352	4.248588033
353	4.242412571
354	4.238126778
355	4.233150125
356	4.227258595
357	4.222979057
358	4.221105064
359	4.217046247
360	4.215388202
361	4.211905133
362	4.205866554
363	4.19917258
364	4.196277153
365	4.193726037
366	4.191328856
367	4.189409244
368	4.185372297
369	4.181748079
370	4.17765393
371	4.174254738
372	4.172593801
373	4.169116178
374	4.165629649
375	4.160978846
376	4.160558056
377	4.156312195
378	4.154856951
379	4.151129043
380	4.148533063
381	4.144469529
382	4.138942893
383	4.136163781
384	4.134395829
385	4.130805344
386	4.128060872
387	4.126977357
388	4.126426972
389	4.125440409
390	4.121812984
391	4.119208934
392	4.11785221
393	4.116285375
394	4.113780816
395	4.113466056
396	4.109784308
397	4.107681823
398	4.105531899
399	4.102708306
400	4.099401171
401	4.097095984
402	4.093538751
403	4.087782419
404	4.085335843
405	4.08507613
406	4.08057293
407	4.077529881
408	4.075681058
409	4.073810032
410	4.072246352
411	4.069427056
412	4.066687169
413	4.064190151
414	4.063011534
415	4.062279593
416	4.061380492
417	4.056972329
418	4.055272002
419	4.054518813
420	4.051173944
421	4.049856852
422	4.048176425
423	4.041734018
424	4.037337903
425	4.034149244
426	4.033708833
