iter	Passed	Remaining
0	62	62563
1	62	31418
2	63	21027
3	63	15828
4	63	12710
5	64	10629
6	68	9695
7	68	8515
8	69	7599
9	69	6862
10	69	6259
11	69	5756
12	70	5331
13	70	4966
14	70	4649
15	71	4373
16	72	4207
17	73	3987
18	73	3789
19	73	3610
20	73	3449
21	74	3302
22	74	3168
23	78	3199
24	78	3080
25	79	2970
26	79	2868
27	79	2773
28	80	2684
29	81	2639
30	81	2561
31	82	2488
32	82	2419
33	82	2354
34	83	2293
35	83	2235
36	83	2180
37	84	2128
38	85	2112
39	86	2069
40	86	2024
41	86	1981
42	87	1939
43	87	1907
44	88	1871
45	88	1837
46	89	1806
47	89	1776
48	89	1745
49	90	1716
50	90	1688
51	91	1662
52	91	1637
53	92	1613
54	92	1589
55	92	1566
56	93	1541
57	93	1519
58	94	1502
59	95	1490
60	95	1469
61	95	1448
62	96	1437
63	96	1417
64	97	1399
65	97	1380
66	98	1367
67	99	1370
68	100	1360
69	101	1347
70	102	1347
71	103	1335
72	104	1321
73	105	1326
74	106	1311
75	106	1296
76	106	1282
77	107	1268
78	107	1254
79	107	1241
80	108	1228
81	108	1215
82	108	1202
83	109	1191
84	109	1179
85	109	1167
86	110	1157
87	110	1147
88	110	1135
89	111	1125
90	111	1114
91	112	1110
92	112	1101
93	113	1089
94	113	1081
95	114	1074
96	114	1066
97	114	1058
98	115	1050
99	115	1041
100	116	1033
101	116	1024
102	116	1017
103	117	1009
104	117	1001
105	117	994
106	118	987
107	118	980
108	119	974
109	119	966
110	119	959
111	120	952
112	120	945
113	120	938
114	121	933
115	121	927
116	122	921
117	122	916
118	122	909
119	123	904
120	123	898
121	124	893
122	124	887
123	124	882
124	125	877
125	127	881
126	127	875
127	127	869
128	127	863
129	128	857
130	128	852
131	128	846
132	129	841
133	129	835
134	138	887
135	139	884
136	142	895
137	144	905
138	145	903
139	146	902
140	147	897
141	165	998
142	165	992
143	165	985
144	166	979
145	175	1027
146	175	1020
147	185	1065
148	193	1102
149	193	1097
150	194	1091
151	194	1085
152	195	1079
153	195	1073
154	195	1066
155	196	1060
156	196	1054
157	196	1047
158	196	1041
159	197	1036
160	197	1030
161	198	1025
162	198	1019
163	198	1013
164	199	1008
165	199	1002
166	199	996
167	200	991
168	200	985
169	200	980
170	201	979
171	202	973
172	203	970
173	203	966
174	204	964
175	205	962
176	206	961
177	207	957
178	207	953
179	208	949
180	209	946
181	209	941
182	210	938
183	211	938
184	212	936
185	213	932
186	213	928
187	214	924
188	214	921
189	215	918
190	216	915
191	216	912
192	217	908
193	217	905
194	218	902
195	219	898
196	219	894
197	220	891
198	220	888
199	221	885
200	221	882
201	222	879
202	222	875
203	223	871
204	223	867
205	224	863
206	224	859
207	224	855
208	224	851
209	225	847
210	225	843
211	225	839
212	225	834
213	226	831
214	226	827
215	226	823
216	227	819
217	227	815
218	227	811
219	227	808
220	228	804
221	228	800
222	228	796
223	229	793
224	229	789
225	229	785
226	229	782
227	229	778
228	230	775
229	230	771
230	230	768
231	231	765
232	231	761
233	231	758
234	232	755
235	232	752
236	232	749
237	233	746
238	233	743
239	233	739
240	233	736
241	234	733
242	234	731
243	235	728
244	235	725
245	235	722
246	235	719
247	236	716
248	236	713
249	236	710
250	237	707
251	237	705
252	238	702
253	238	700
254	238	697
255	238	694
256	239	691
257	239	688
258	239	685
259	240	683
260	240	680
261	240	677
262	240	675
263	241	672
264	241	669
265	241	666
266	241	664
267	242	661
268	242	658
269	242	656
270	243	653
271	243	651
272	243	648
273	243	646
274	244	643
275	244	641
276	244	638
277	244	636
278	245	633
279	245	631
280	245	628
281	246	626
282	246	623
283	246	621
284	246	619
285	247	617
286	247	615
287	247	612
288	248	610
289	248	608
290	248	605
291	249	605
292	250	603
293	250	601
294	250	598
295	250	596
296	251	594
297	251	592
298	251	590
299	252	588
300	252	585
301	252	583
302	252	581
303	253	579
304	253	577
305	253	575
306	254	573
307	254	571
308	254	569
309	254	567
310	255	565
311	255	563
312	255	561
313	255	559
314	256	557
315	256	555
316	256	553
317	257	551
318	257	549
319	257	547
320	258	545
321	258	544
322	258	542
323	259	540
324	259	538
325	259	536
326	260	535
327	260	533
328	260	531
329	260	529
330	261	528
331	261	526
332	261	524
333	262	522
334	262	520
335	262	519
336	262	517
337	263	515
338	263	513
339	263	511
340	263	510
341	264	508
342	264	506
343	264	504
344	264	502
345	265	501
346	265	499
347	265	497
348	266	496
349	266	494
350	266	493
351	267	491
352	267	489
353	267	488
354	267	486
355	268	485
356	268	483
357	268	482
358	269	480
359	269	479
360	269	477
361	270	476
362	270	474
363	270	472
364	270	471
365	271	469
366	271	468
367	271	466
368	272	465
369	272	463
370	272	462
371	272	460
372	273	459
373	273	457
374	273	456
375	273	454
376	274	453
377	274	451
378	274	450
379	275	448
380	275	447
381	275	446
382	276	444
383	276	443
384	276	441
385	276	440
386	277	439
387	277	437
388	277	436
389	278	435
390	278	433
391	278	432
392	279	431
393	279	430
394	279	428
395	280	427
396	280	426
397	280	424
398	281	423
399	281	421
400	281	420
401	281	419
402	282	417
403	282	416
404	282	415
405	282	413
406	283	412
407	283	411
408	283	409
409	284	408
410	284	407
411	284	406
412	284	404
413	285	403
414	285	402
415	285	401
416	285	399
417	286	398
418	286	397
419	286	396
420	287	394
421	287	393
422	287	392
423	288	391
424	288	390
425	288	388
426	288	387
427	289	386
428	289	385
429	289	384
430	289	382
431	290	381
432	290	380
433	290	379
434	291	378
435	291	376
436	291	375
437	291	374
438	292	373
439	292	372
440	292	370
441	293	369
442	293	368
443	293	367
444	293	366
445	294	365
446	294	364
447	294	363
448	295	362
449	295	361
450	295	360
451	296	359
452	296	358
453	296	356
454	297	355
455	297	354
456	297	353
457	298	352
458	298	351
459	298	350
460	298	349
461	299	348
462	299	347
463	299	346
464	299	345
465	300	344
466	300	343
467	300	341
468	301	340
469	301	339
470	301	338
471	301	337
472	302	336
473	302	335
474	302	334
475	303	333
476	303	332
477	303	331
478	304	330
479	304	329
480	304	328
481	304	327
482	305	326
483	305	325
484	305	324
485	305	323
486	306	322
487	306	321
488	306	320
489	307	319
490	307	318
491	307	317
492	307	316
493	308	315
494	308	314
495	308	313
496	308	312
497	309	311
498	309	310
499	309	309
500	309	308
501	310	307
502	310	306
503	310	305
504	311	305
505	311	304
506	311	303
507	311	302
508	312	301
509	312	300
510	312	299
511	313	298
512	313	297
513	313	296
514	314	295
515	314	294
516	314	294
517	315	293
518	315	292
519	315	291
520	315	290
521	316	289
522	316	288
523	316	287
524	316	286
525	317	285
526	318	285
527	318	284
528	318	283
529	318	282
530	319	281
531	319	281
532	319	280
533	320	279
534	320	278
535	321	277
536	321	277
537	321	276
538	321	275
539	322	274
540	322	273
541	322	272
542	323	271
543	323	271
544	323	270
545	324	269
546	324	268
547	324	267
548	324	266
549	325	265
550	325	265
551	325	264
552	325	263
553	326	262
554	326	261
555	326	260
556	326	260
557	327	259
558	327	258
559	327	257
560	327	256
561	328	255
562	328	255
563	328	254
564	329	253
565	329	252
566	329	251
567	330	251
568	330	250
569	330	249
570	331	248
571	331	248
572	331	247
573	332	246
574	332	245
575	333	245
576	333	244
577	333	243
578	333	242
579	334	242
580	334	241
581	334	240
582	335	239
583	335	239
584	335	238
585	336	237
586	336	236
587	336	235
588	336	235
589	337	234
590	337	233
591	337	232
592	338	231
593	338	231
594	338	230
595	339	229
596	339	229
597	340	228
598	340	227
599	340	227
600	341	226
601	341	225
602	341	225
603	342	224
604	342	223
605	343	223
606	343	222
607	343	221
608	344	220
609	344	220
610	344	219
611	344	218
612	345	217
613	345	217
614	345	216
615	345	215
616	346	214
617	346	214
618	346	213
619	347	212
620	347	212
621	347	211
622	348	210
623	348	210
624	349	209
625	349	208
626	350	208
627	350	207
628	350	206
629	350	206
630	351	205
631	351	204
632	351	203
633	352	203
634	352	202
635	352	201
636	352	201
637	353	200
638	353	199
639	353	198
640	353	198
641	354	197
642	354	196
643	354	196
644	354	195
645	355	194
646	355	194
647	356	193
648	356	192
649	356	192
650	356	191
651	357	190
652	357	190
653	357	189
654	358	188
655	358	188
656	358	187
657	359	186
658	359	186
659	359	185
660	360	184
661	360	184
662	360	183
663	360	182
664	361	181
665	361	181
666	361	180
667	362	179
668	362	179
669	362	178
670	362	177
671	363	177
672	363	176
673	363	175
674	364	175
675	364	174
676	364	173
677	364	173
678	365	172
679	365	172
680	365	171
681	366	170
682	366	170
683	366	169
684	366	168
685	367	168
686	367	167
687	367	166
688	368	166
689	368	165
690	368	164
691	369	164
692	369	163
693	369	163
694	369	162
695	370	161
696	370	161
697	370	160
698	371	159
699	371	159
700	371	158
701	371	157
702	372	157
703	372	156
704	372	155
705	373	155
706	373	154
707	373	154
708	373	153
709	374	152
710	374	152
711	374	151
712	375	151
713	375	150
714	375	149
715	376	149
716	376	148
717	376	147
718	377	147
719	377	146
720	377	146
721	377	145
722	378	144
723	378	144
724	378	143
725	378	143
726	379	142
727	379	141
728	379	141
729	380	140
730	380	139
731	380	139
732	380	138
733	381	138
734	381	137
735	381	136
736	382	136
737	382	135
738	382	135
739	382	134
740	383	133
741	383	133
742	383	132
743	384	132
744	384	131
745	384	130
746	385	130
747	385	129
748	385	129
749	386	128
750	386	128
751	386	127
752	386	126
753	387	126
754	387	125
755	387	125
756	388	124
757	388	123
758	388	123
759	388	122
760	389	122
761	389	121
762	389	121
763	389	120
764	390	119
765	390	119
766	390	118
767	391	118
768	391	117
769	391	116
770	391	116
771	392	115
772	392	115
773	392	114
774	392	114
775	393	113
776	393	112
777	393	112
778	394	111
779	394	111
780	394	110
781	394	110
782	395	109
783	395	108
784	395	108
785	396	107
786	396	107
787	396	106
788	397	106
789	397	105
790	397	105
791	397	104
792	398	103
793	398	103
794	398	102
795	398	102
796	399	101
797	399	101
798	399	100
799	399	99
800	400	99
801	400	98
802	400	98
803	400	97
804	401	97
805	401	96
806	401	96
807	402	95
808	402	95
809	402	94
810	403	93
811	403	93
812	403	92
813	404	92
814	404	91
815	404	91
816	404	90
817	405	90
818	405	89
819	405	89
820	405	88
821	406	87
822	406	87
823	406	86
824	407	86
825	407	85
826	407	85
827	407	84
828	408	84
829	408	83
830	408	83
831	408	82
832	409	82
833	409	81
834	409	80
835	409	80
836	410	79
837	410	79
838	410	78
839	410	78
840	411	77
841	411	77
